2025-02-24 10:28:29,176 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:30,207 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:31,208 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:32,236 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:33,251 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:34,283 - INFO - Gesture: Немає руки, Stability: 77.42%, Threshold: 0.149
2025-02-24 10:28:35,296 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:36,304 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:37,312 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:38,343 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:39,340 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:40,355 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:41,381 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:42,378 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:43,389 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:44,401 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:45,399 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:46,408 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:47,411 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:48,422 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:49,467 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:50,484 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:51,496 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:52,507 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:53,538 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:54,544 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:55,560 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:57,768 - INFO - Програма завершена.
2025-02-24 10:34:57,598 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 83.95%, Threshold: 0.100
2025-02-24 10:34:58,616 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 82.98%, Threshold: 0.100
2025-02-24 10:34:59,643 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 83.80%, Threshold: 0.100
2025-02-24 10:35:00,639 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 83.71%, Threshold: 0.100
2025-02-24 10:35:01,656 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 94.36%, Threshold: 0.100
2025-02-24 10:35:02,657 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 88.11%, Threshold: 0.100
2025-02-24 10:35:03,685 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 87.11%, Threshold: 0.100
2025-02-24 10:35:04,700 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 83.23%, Threshold: 0.100
